name,founded_date,location,category,target_client,business_model,description,main_url,twitter_url,angellist_url,crunchbase_url,linkedin_url,facebook_url,legalio_url,all_tags,status,
Horizon,2014,"Bangkok, Thailand",Document Automation,n/a,n/a,Blockchain-based investment.,http://Horizon.VC,https://twitter.com/horizonnews?lang=en,https://angel.co/company/horizon-2,https://www.crunchbase.com/organization/horizon-2,http://www.linkedin.com/company/5319197,http://www.facebook.com/HorizonCamera,n/a,n/a,inactive,
eShares,2012,"Palo Alto, CA, USA",Document Automation,Companies,Legal Service Using Tech,Electronic Stock Certificates,https://www.esharesinc.com/,https://twitter.com/esharesinc,https://angel.co/eshares,http://www.crunchbase.com/organization/eshares,n/a,https://www.facebook.com/eshares.official/,n/a,stock certificates,active,
ZENDOC,2012,"Seattle, Washington, United States",Document Automation,n/a,n/a,Contract management made easy.,n/a,n/a,n/a,n/a,https://www.linkedin.com/company/zendoc,https://www.facebook.com/pg/getzendoc,n/a,"Information Technology, Internet, Legal Tech",active,
Privatim,2015,Denver,Document Automation,n/a,n/a,Secure. Client. Communication.,www.privatim.io/,https://twitter.com/privatim_saas,https://angel.co/privatim/,https://www.crunchbase.com/organization/priv%C4%81tim,n/a,https://www.facebook.com/nostalgiaprivatim.de,n/a,n/a,inactive,
Concis.ly,2015,London,Document Automation,n/a,n/a,Like Visual Studio for Lawyers,http://concis.ly/,https://twitter.com/concis_ly,https://angel.co/concis-ly,n/a,n/a,n/a,n/a,n/a,inactive,
Dealz.ai,2019,"New York, New York, United States",Document Automation,n/a,n/a,Legal deal management platform,dealz.ai,n/a,n/a,https://www.crunchbase.com/organization/dealdep,n/a,https://www.facebook.com/DealzAI,n/a,"Document Management, Ediscovery, Legal, Legal Tech, Project Management, Software, Venture Capital",inactive,
Tapdox,2012,"Austin, TX, USA",Document Automation,Companies,Legal Tech,Frictionless Contract Execution,n/a,https://twitter.com/https://twitter.com/tapdox,https://angel.co/tapdox,n/a,n/a,n/a,n/a,"documents, contracts, signing, apps",inactive,
Lawren.io,2018,"Antwerp, Belgium",Document Automation,n/a,n/a,Chatbots for the legal industry,https://www.lawren.io,https://twitter.com/Lawren_io,n/a,https://www.crunchbase.com/organization/importio,https://www.linkedin.com/company/lawren-io,https://www.facebook.com/lawren.io/,n/a,chatbot,active,
ClicknClear,2009,London,Document Automation,n/a,n/a,Music Licensing for Sports Mixes,http://www.clicknclear.com/,https://twitter.com/clicknclear_?lang=en,https://angel.co/company/pre-cleared-limited-t-a-clicknclear,https://www.crunchbase.com/organization/clicknclear,https://www.linkedin.com/company/clicknclearmusic/,https://www.facebook.com/clicknclearmusic/,n/a,n/a,active,
Peppercorn,2012,Europe,Document Automation,Companies,Legal Tech,Make contracts in many languages,http://www.peppercorn.it/en,https://twitter.com/pppcrn,https://angel.co/peppercorn-1,http://www.crunchbase.com/organization/automating-law,http://www.linkedin.com/company/peppercorn-it,http://www.facebook.com/peppercorn.it,n/a,"documents, contracts, languages",inactive,
Made in Law,2016,London,Document Automation,n/a,n/a,We are your business lawyer SAAS,https://madeinlaw.com/en/,https://twitter.com/lawmadecom?lang=en,https://angel.co/made-in-law-1,https://www.crunchbase.com/organization/made-in-law,https://www.linkedin.com/company/made-in-law,https://www.facebook.com/pg/madeinlaw.co,n/a,n/a,inactive,
LegalFacil,2013,"Buenos Aires, Brazil",Document Automation,n/a,n/a,"DYI books, contracts and materials",https://legalfacil.com,https://twitter.com/legalfacil,n/a,https://www.crunchbase.com/organization/legalfcil,n/a,https://www.facebook.com/LegalFacil,n/a,n/a,active,
eSign Genie,2014,Cupertino,Document Automation,n/a,n/a,Easy and Collaborative eSignatures,n/a,https://twitter.com/eSignGenie,https://angel.co/company/esign-genie,n/a,https://www.linkedin.com/company/esigngenie/,https://www.facebook.com/eSignGenie,n/a,n/a,active,
Trustlog,2020,"Citrus Heights, California, United States",Document Automation,n/a,n/a,Recorded Handshake Deals On The Go,http://trustlog.biz,n/a,n/a,https://www.crunchbase.com/organization/trustlog,https://www.linkedin.com/company/trustlog,https://www.facebook.com/trustlog,n/a,"Blockchain, Legal Tech",active,
CloudNine,2007,"Houston, Texas, United States",Document Automation,n/a,n/a,"eDiscovery automation company, SaaS",n/a,n/a,https://angel.co/company/cloud-nine-media,n/a,https://www.linkedin.com/company/cloudnine-discovery/,https://www.facebook.com/CloudNineDiscovery,n/a,"Cloud Computing, Cloud Data Services, Document Management, Ediscovery, Enterprise Software, Information Technology, Legal, Legal Tech, SaaS, Software",active,
Prenupta,2017,Los Angeles,Document Automation,n/a,n/a,"Prenuptial Agreements, Made Simple.",n/a,n/a,https://angel.co/prenupta,n/a,https://www.linkedin.com/company/prenupta-com/about/,https://www.facebook.com/Prenupta-1303466196435157/,n/a,n/a,active,
PactSafe,2013,Indianapolis,Document Automation,Companies,Legal Tech,Manage your website legal agreements,n/a,https://twitter.com/PactSafe,https://angel.co/company/pactsafe,n/a,https://www.linkedin.com/company/3238224,https://www.facebook.com/Pactsafe,n/a,"management, automation, document generation, terms of service, docuemnts, website terms of service",active,
Clausehound,2015,"Toronto, ON, Canada",Document Automation,Companies,Legal Tech,Contract drafting and clause library,http://clausehound.com/,https://twitter.com/clausehound?lang=en,https://angel.co/company/clausehound-1,https://www.crunchbase.com/organization/clausehound,https://www.linkedin.com/company/clausehound,https://www.facebook.com/Clausehound/,n/a,"liz, content management, document drafting, leases, ndas",active,
PECULE Innovations,2016,Airoli,Document Automation,n/a,n/a,Market Leader in DIY legal documents,https://www.rentagreementregistration.com,https://twitter.com/simploLegalDocs,https://angel.co/pecule-innovations,n/a,https://in.linkedin.com/in/pecule-innovations-759b3b111,n/a,n/a,n/a,inactive,
RocketLawyer,2008,"San Francisco, CA, USA",Document Automation,Individuals,Legal Service Using Tech,Everything you need to make it legal.,n/a,https://twitter.com/rocketlawyer,https://angel.co/rocketlawyer,n/a,https://www.linkedin.com/company/rocket-lawyer-inc,https://www.facebook.com/RocketLawyer/,n/a,"documents, wills, estates, forms",active,
AfterSteps,2011,"New York, NY, USA",Document Automation,Individuals,Legal Service Using Tech,Online end-of-life planning platform.,www.aftersteps.com,https://twitter.com/AfterStepsCo,https://angel.co/aftersteps,https://www.crunchbase.com/organization/aftersteps,n/a,http://www.facebook.com/AfterStepsCo,n/a,"information, media, security",active,
Legal Simplicity,2013,"New York, NY, USA",Document Automation,Service Providers,Legal Service Using Tech,M&A Settlement Software for Attorneys,n/a,https://twitter.com/LegalSimplicity,n/a,n/a,http://www.linkedin.com/company/legal-simplicity,https://www.facebook.com/SimplicityLegal/,n/a,margers & acquisitions,inactive,
Legex,2019,"Delhi, Delhi, India",Document Automation,n/a,n/a,Legex is a legal service facilitator.,http://www.legex.org/,https://twitter.com/legex_in,https://angel.co/company/legex,https://www.crunchbase.com/organization/legex,https://in.linkedin.com/company/legex-in,https://www.facebook.com/legex.in,n/a,"Consulting, Legal Tech",active,
doAgree,2013,Wellington,Document Automation,Companies,Legal Tech,Instant agreements. Anytime. Anyplace.,http://www.doagree.com,https://twitter.com/doagree,https://angel.co/doagree,https://www.crunchbase.com/organization/doagree,n/a,n/a,n/a,"documents, contracts, mobile, app",inactive,
SelfLawyer,2019,"New York, New York, United States",Document Automation,n/a,n/a,Immigration forms preparation software,n/a,https://twitter.com/Self_Lawyer,n/a,n/a,https://www.linkedin.com/company/34626047/,https://www.facebook.com/selflawyer,n/a,Legal Tech,active,
everplans,2012,"New York, NY, USA",Document Automation,Individuals,Legal Service Using Tech,A practical approach to life and death.,n/a,https://twitter.com/everplans,https://angel.co/everplans,n/a,https://www.linkedin.com/company/everplans,https://www.facebook.com/everplans/,n/a,"wills, estates",active,
NextChapter,2013,"Colombus, OH, USA",Document Automation,Service Providers,Legal Service Using Tech,Online Bankruptcy Software for Attorneys,n/a,https://twitter.com/NextChapterBK,https://angel.co/nextchapter,n/a,http://www.linkedin.com/company/nextchapter-inc-,http://www.facebook.com/NextChapterBK,n/a,bankruptcy,active,
ClosingFolders,2015,"Toronto, ON, Canada",Document Automation,Companies,Legal Tech,Organizing and executing corporate deals,http://www.closingfolders.com/,https://twitter.com/ClosingFolders,n/a,https://www.crunchbase.com/organization/closing-folders,https://ca.linkedin.com/company/closing-folders-inc-,n/a,n/a,"legalx, mars, closing checklists, transactions",active,
Kira Systems,2015,"Toronto, ON, Canada",Document Automation,Companies,Legal Tech,Contract analysis using machine learning,https://kirasystems.com/,https://twitter.com/KiraSystems,https://angel.co/company/kira-systems/jobs,https://www.crunchbase.com/organization/kira,https://www.linkedin.com/company/kirasystems,https://www.facebook.com/heykirapage,n/a,"document automation, machine learning, contracts",active,
Contractually,2010,"Vancouver, BC, Canada",Document Automation,Companies,Legal Tech,"The fastest, easiest way to do contracts.",http://www.contractual.ly/,https://twitter.com/https://twitter.com/contractually,https://angel.co/contractually,http://www.crunchbase.com/organization/contractually,http://www.linkedin.com/company/contractually,n/a,n/a,"documents, contracts, web, app",acquired,
RETiDoc,2013,"Sofia, Bulgaria",Document Automation,n/a,n/a,Reads and extracts all personal documents,https://retidoc.com,n/a,n/a,https://www.crunchbase.com/organization/retidoc,n/a,n/a,n/a,n/a,active,
FastVisa US,2016,Dallas,Document Automation,n/a,n/a,The New Standard for Immigration Workflow,n/a,https://twitter.com/fastvisaus?lang=en,https://angel.co/fastvisa-us/jobs,n/a,https://www.linkedin.com/company/fastvisa-us,https://www.facebook.com/fastvisaus/,n/a,n/a,active,
AiRelo,2017,"Berlin, Berlin, Germany",Document Automation,n/a,n/a,World's First City Registration Assistant,https://airelo.me/,https://twitter.com/airelome?lang=en,n/a,https://www.crunchbase.com/organization/airelo,https://www.linkedin.com/company/18220035/,https://www.facebook.com/airelome,n/a,"Artificial Intelligence, Government, GovTech, Human Resources, Information and Communications Technology (ICT), Information Services, Information Technology, Insurance, InsurTech, Legal Tech, Productivity Tools, SaaS, Virtual Assistant",active,
Cognate,2014,"Boston, MA",Document Automation,n/a,n/a,New way to record and prove trademark use.,n/a,https://twitter.com/thecognate_?lang=en,https://angel.co/company/cognate-1/funding,n/a,https://www.linkedin.com/company/cognatetm,https://www.facebook.com/cognatetm,n/a,n/a,active,
Deleyes,2019,"Bogotá, Distrito Especial, Colombia",Document Automation,n/a,n/a,Deleyes provides automated legal services.,https://www.deleyes.com/,https://twitter.com/deleyesonline?lang=en,n/a,https://www.crunchbase.com/organization/deleyes,https://www.linkedin.com/company/deleyes/,https://www.facebook.com/deleyesonline/,n/a,"Consulting, Information Technology, Legal, Legal Tech, Software",active,
SirionLabs,2012,"Dublin, CA",Document Automation,n/a,n/a,Post-signature contract management platform,n/a,https://twitter.com/sirionlabs?lang=en,https://angel.co/company/sirionlabs,n/a,http://www.linkedin.com/company/sirionlabs,https://www.facebook.com/SirionLabs/,n/a,n/a,active,
CarBack,2014,"Baltimore, Maryland, United States",Document Automation,n/a,n/a,CarBack specializes in document automation.,https://carback.us,https://twitter.com/rcarback?lang=en,https://angel.co/company/carback,https://www.crunchbase.com/organization/carback,https://www.linkedin.com/company/carback,https://www.twitter.com/rcarback,n/a,"Document Management, Legal, Legal Tech",inactive,
Korbitec,2015,"Toronto, ON, Canada",Document Automation,Companies,Legal Tech,Automating court forms for civil litigation,http://www.korbitec.ca/,https://twitter.com/KorbitecACL,https://angel.co/company/korbitec,https://www.crunchbase.com/organization/korbitec-d3ec,https://www.linkedin.com/company/korbitec,https://www.facebook.com/KorbitecACL/,n/a,"document automation, civil litigation, practice management, case management",active,
LawPanel,2015,London,Document Automation,n/a,n/a,Intelligent tools to make law firms smarter,https://www.lawpanel.com/,https://twitter.com/lawpanel?lang=en,https://angel.co/company/lawpanel/people,https://www.crunchbase.com/organization/lawpanel,https://uk.linkedin.com/company/lawpanel,https://www.facebook.com/LawPanel/,n/a,n/a,active,
Syngrafii,2015,"Toronto, ON, Canada",Document Automation,Companies,Legal Tech,Signing and contract execution (e-signatures),http://www.syngrafii.com/,https://twitter.com/syngrafii?lang=en,n/a,https://www.crunchbase.com/organization/syngraffii#/entity,https://ca.linkedin.com/company/syngrafii-inc-,https://www.facebook.com/public/Syngrafii-Corp,n/a,"legalx, mars, contract signing, contract execution, e-contracts",active,
"Mystacks, Inc.",2016,"San Francisco, CA",Document Automation,n/a,n/a,A.I. document drafting assistant for lawyers.,n/a,https://twitter.com/golawyaw,n/a,n/a,https://www.linkedin.com/company/mystacks-inc.,n/a,n/a,"document generation, machine learning, artificial intelligence",acquired,
DocBlaster,2017,Benloch,Document Automation,n/a,n/a,Convert Doc / PDF to monitored repsonsive Web,http://www.docblaster.com/,https://twitter.com/docblaster?lang=en,https://angel.co/docblaster,https://www.crunchbase.com/organization/docblaster,n/a,https://www.facebook.com/docblaster/,n/a,n/a,active,
LegatumX,2017,Los Angeles,Document Automation,n/a,n/a,Legal services solution for document integrity.,https://legatumx.com/,n/a,https://angel.co/legatumx,https://www.crunchbase.com/organization/legatumx,https://www.linkedin.com/company/legatumx/,https://www.facebook.com/pg/LegatumX/,n/a,n/a,active,
elementaryIP,2014,"Santa Clara, CA",Document Automation,n/a,n/a,Deep learning AI for patent search and analytics,n/a,n/a,n/a,n/a,https://www.linkedin.com/company/elementary,https://www.facebook.com/pages/ElementaryIP/182854265402138,n/a,n/a,active,
IntelliLaw,2017,Delaware City,Document Automation,n/a,n/a,Funds documents management and business services,https://www.intelli-law.com,https://twitter.com/intellilaw,https://angel.co/intellilaw/,https://www.crunchbase.com/organization/intelliact,n/a,https://www.facebook.com/pages/IntelliLaw/381068445857185,n/a,n/a,active,
Legit Quest,2017,Delhi,Document Automation,n/a,n/a,Research Tool for Stakeholders of Legal Industry,https://www.legitquest.com/,https://twitter.com/LegitQuestLegal,https://angel.co/company/legit-quest,https://www.crunchbase.com/organization/legitquest,https://www.linkedin.com/company/legit-quest,https://www.facebook.com/legitquestlegal/,n/a,n/a,active,
Riverview Law,2012,"London, England, England",Document Automation,n/a,n/a,"Riverview Law, an innovative legal services firm.",http://www.riverviewlaw.com/,https://twitter.com/eyriverviewlaw?lang=en,n/a,https://www.crunchbase.com/organization/riverview-law,https://www.linkedin.com/company/riverviewlaw3/,https://www.facebook.com/RiverviewLaw/,n/a,"Advice, Information Technology, Legal, Legal Tech, Software",acquired,
Aluvion Law,2013,"Toronto, ON, Canada",Document Automation,Companies,Legal Tech,Flat-fee services for small and medium enterprizes,https://aluvionlaw.com,https://twitter.com/aluvionlaw,https://angel.co/aluvion-law?utm_source=companies,https://www.crunchbase.com/organization/aluvion,https://ca.linkedin.com/company/aluvion,https://www.facebook.com/AluvionLaw/,n/a,"sme, start-ups, small business, growing business, ip",active,
helpcheck,2016,"Düsseldorf, Nordrhein-Westfalen, Germany",Document Automation,n/a,n/a,helpcheck is a legal tech company from Dusseldorf.,https://helpcheck.de/,https://twitter.com/helpcheck_de,https://angel.co/company/herbal-health-check,https://www.crunchbase.com/organization/helpcheck,https://www.linkedin.com/company/helpcheck-gmbh/,https://www.facebook.com/pg/helpcheck/,n/a,"Internet, Legal Tech",active,
ClearNDA,2012,"Chicago, IL, USA",Document Automation,Companies,Legal Tech,Securely bringing contract negotiations to the cloud,http://www.clearnda.com/,https://twitter.com/https://twitter.com/clearnda,https://angel.co/clearnda,http://www.crunchbase.com/organization/clearnda,n/a,n/a,n/a,"documents, cloud, contracts, web, negotiation",inactive,
Whooster,2013,"Buda, Texas, United States",Document Automation,n/a,n/a,Whooster  Investigative  Data & Technology Platform.,https://www.whooster.com/,n/a,n/a,https://www.crunchbase.com/organization/whooster,https://www.linkedin.com/company/whooster/,n/a,n/a,"Analytics, Fraud Detection, Law Enforcement, Legal Tech, National Security, Risk Management, Software",active,
Doctual Ltd.,2017,"Helsinki, Finland",Document Automation,n/a,n/a,A platform for online legal paperwork for companies.,https://www.doctual.com,https://twitter.com/doctual,www.angel.co/doctual-1,https://www.crunchbase.com/organization/doctual,https://www.linkedin.com/company/doctual,n/a,n/a,"documents, legal, paperwork, smart",inactive,
Ontario Small Claims Wizard,2015,"Toronto, ON, Canada",Document Automation,Individuals,Legal Tech,Assists with filing Ontario Small Claims Court actions,http://smallclaimswizard.com/,n/a,n/a,https://www.crunchbase.com/organization/ontario-small-claims-wizard,n/a,n/a,n/a,"legalx, mars, liz, small claims court, access to justice, a2j, forms, document management",inactive,
Taxbender,2017,"Chicago, Illinois, United States",Document Automation,n/a,n/a,Taxbender helps residences lower their property taxes.,n/a,https://twitter.com/taxbender,https://angel.co/company/taxbender,n/a,https://au.linkedin.com/company/taxbanter,n/a,n/a,"Building Material, Information Technology, Legal, Legal Tech, Real Estate, Software",inactive,
Clerky,2013,"Menlo Park, CA, USA",Document Automation,Companies,Legal Service Using Tech,Helping startups get legal stuff done right (and fast).,n/a,https://twitter.com/clerkyinc,https://angel.co/clerky-1,n/a,https://www.linkedin.com/company/clerky-inc-/,https://www.facebook.com/clerkyinc,n/a,"documents, forms, incorporation, start-ups",active,
Living Legacies,2017,Baltimore,Document Automation,n/a,n/a,Making advanced care directives effective and efficient,http://www.livinglegacies1914-18.ac.uk/,https://twitter.com/livinglegacies3?lang=en,https://angel.co/living-legacies,['https://www.crunchbase.com/organization/the-living-legacy-foundation'],https://www.linkedin.com/company/living-legacy-llc,https://www.facebook.com/Living-Legacies-121611591211274/,n/a,n/a,active,
SupportPay,2010,"Santa Clara, CA, USA",Document Automation,Individuals,Legal Service Using Tech,The first-ever automated child support payment platform.,supportpay.com,https://twitter.com/supportpayapp,https://angel.co/supportpay,https://www.crunchbase.com/organization/supportpay-fe45,https://www.linkedin.com/company/supportpay/,https://www.facebook.com/supportpay/,n/a,"child-support, divorce",active,
Nubbius,2018,"Granada, Andalucia, Spain",Document Automation,n/a,n/a,Nubbius develops software for lawyers in a secure cloud.,https://nubbius.com/,https://twitter.com/nubbius?lang=en,n/a,https://www.crunchbase.com/organization/nubbius,https://www.linkedin.com/showcase/nubbius---software-en-la-nube-para-abogados/,https://www.facebook.com/nubbius/,n/a,"Consulting, Information Technology, Legal, Legal Tech, Software",active,
Veloxiti,1990,"Alpharetta, Georgia, United States",Document Automation,n/a,n/a,Thinking Software - Innovative Human-Computer Productivity,https://www.veloxiti.com/,https://twitter.com/veloxiti?lang=en,n/a,https://www.crunchbase.com/organization/veloxiti,https://www.linkedin.com/company/veloxiti-inc,https://www.facebook.com/veloxiti/,n/a,"Artificial Intelligence, Government, Health Diagnostics, Information Technology, InsurTech, Legal Tech, Real Estate, Software",active,
Advobot,2017,"San Francisco, California, United States",Document Automation,n/a,n/a,Advobot is an A.I. chatbot for automating legal documents.,n/a,https://twitter.com/advo_bot?lang=en,https://angel.co/company/advobo,n/a,https://www.linkedin.com/company/advobot/,https://www.facebook.com/advobotAI/,n/a,"Artificial Intelligence, Document Management, Information Technology, Legal, Legal Tech",inactive,
Airflow,2019,Paris,Document Automation,n/a,n/a,Collaborative and data-oriented contracts for modern teams,https://getairflow.co/en,https://twitter.com/getairflow,https://angel.co/company/airflow-drones,https://www.crunchbase.com/organization/airflow-catalyst-systems,https://www.linkedin.com/company/air-flow,n/a,n/a,"saas, b2b",inactive,
Accord Project,2017,"New York, New York, United States",Document Automation,n/a,n/a,Accord Project is an open source smart legal contract stack.,https://www.accordproject.org/,https://twitter.com/accordhq?lang=en,https://angel.co/accordproject,https://www.crunchbase.com/organization/accord-project,https://www.linkedin.com/company/accordproject/,https://www.facebook.com/accordhq/,n/a,"Document Management, Legal, Legal Tech, Software",active,
Doc2,2017,"Cambridge, Cambridgeshire, England",Document Automation,n/a,n/a,Document creation automation and eSigning platform for SMEs.,https://doc2.co/,https://twitter.com/Doc2co,n/a,https://www.crunchbase.com/organization/doc2,https://www.linkedin.com/company/doc2/,https://www.facebook.com/DOC2duet/,n/a,"Information Technology, Internet, Legal Tech, SaaS, Software",active,
DiligenceEngine,2008,"New York, NY, USA",Document Automation,Service Providers,Legal Service Using Tech,Technology enhanced contract review: faster and more accurate,n/a,https://twitter.com/DiligenceEngine,n/a,n/a,n/a,n/a,n/a,"documents, document review, mergers & acquisitions",inactive,
VaultSwap,2014,"Austin, TX, USA",Document Automation,n/a,n/a,VaultSwap is the legal tool for efficient discovery exchange.,n/a,https://twitter.com/vaultinvest?lang=en,https://angel.co/vaultswap,n/a,n/a,n/a,n/a,n/a,inactive,
Qualia,2015,"San Francisco, California, United States",Document Automation,n/a,n/a,Qualia is a cloud-based digital real estate closing platform.,n/a,https://twitter.com/qualiasoftware,https://angel.co/company/qualialabs,n/a,https://www.linkedin.com/company/qualiasoftware/,https://www.facebook.com/qualiasoftware/,n/a,"Enterprise Software, Finance, Legal Tech, Real Estate, Software",active,
LexDo.it Srl,2015,"Milan, Italy",Document Automation,n/a,n/a,We automate legal services for companies and families in Italy,https://www.lexdo.it,https://twitter.com/teamlexdoit,https://angel.co/lexdo-it-srl,https://www.crunchbase.com/organization/lexdo-it,https://it.linkedin.com/company/lexdo-it-srl,https://it-it.facebook.com/www.LexDo.it/,n/a,n/a,active,
Law4TW,2014,Taiwan,Document Automation,n/a,n/a,Online service to provide legal document generation and review.,https://law4tw.com,https://twitter.com/law4tw,n/a,https://www.crunchbase.com/organization/law4tw,n/a,https://www.facebook.com/law4tw/,n/a,"document generation, document review, find-a-lawyer, saas",active,
"Docasaurus, Inc.",2015,"San Francisco, California, United States",Document Automation,n/a,n/a,Docasaurus provides automating documents for corporate lawyers.,http://www.docasaurus.com/,https://twitter.com/docasaurus,https://angel.co/company/docasaurus,https://www.crunchbase.com/organization/docasaurus,n/a,n/a,n/a,n/a,active,
Legable,2019,"Brooklyn, New York, United States",Document Automation,n/a,n/a,Automated legal document analysis and annotation for consumers.,n/a,https://twitter.com/hashtag/legible,https://angel.co/company/legable,n/a,https://www.linkedin.com/company/,n/a,n/a,"Legal, Legal Tech",active,
Ella Cheong Hong Kong,2005,"Hong Kong, Hong Kong Island, Hong Kong",Document Automation,n/a,n/a,Ella Cheong Hong Kong is an intellectual property (IP) law firm.,https://www.ellacheong.asia,n/a,n/a,https://www.crunchbase.com/organization/ella-cheong-hong-kong,n/a,https://www.facebook.com/ellacheongasia/,n/a,"Intellectual Property, Legal, Legal Tech",active,
Fidus Law Chambers,2008,"Noida, Uttar Pradesh, India",Document Automation,n/a,n/a,Fidus Law Chambers is a boutique intellectual property law firm.,https://www.fiduslawchambers.com/,n/a,n/a,https://www.crunchbase.com/organization/fidus-law-chambers,https://www.linkedin.com/company/fidus-law-chambers/,https://www.facebook.com/FidusLawChambers/,n/a,"Legal, Legal Tech",active,
Shake,2012,"New York, NY, USA",Document Automation,Companies,Legal Tech,"Create, Sign, and Send legally binding agreements on your phone.",n/a,https://twitter.com/shakelaw,https://angel.co/shake-1,n/a,http://www.linkedin.com/company/shake-inc-,http://www.facebook.com/SimplyLegal,n/a,"documents, contracts, signing, mobile, app",inactive,
Wundertax,2015,"Berlin, Berlin, Germany",Document Automation,n/a,n/a,Wundertax provides online tax returns filing and related services.,https://www.wundertax.de,https://twitter.com/wundertax?lang=en,n/a,https://www.crunchbase.com/organization/wundertax,https://www.linkedin.com/company/wundertax-gmbh/,https://www.facebook.com/steuererklaerung.de/,n/a,"Financial Services, Internet, Legal, Legal Tech",active,
Hunit,2018,"London, England, England",Document Automation,n/a,n/a,SaaS for legal professionals to use smart contracts and blockchain,https://www.hunit.com,https://twitter.com/oghunit,n/a,https://www.crunchbase.com/organization/hunit,https://www.linkedin.com/company/hunit,n/a,n/a,"Blockchain, FinTech, Information Technology, Legal Tech, SaaS",active,
ExpressSteuer,2019,n/a,Document Automation,n/a,n/a,AI-powered software automating the process of filing a german return,https://www.expresssteuer.com,n/a,n/a,https://www.crunchbase.com/organization/expresssteuer,https://www.linkedin.com/company/expresssteuer,https://www.facebook.com/Expresssteuer/?ref=nearby_places,n/a,"Financial Services, Legal Tech, Software",active,
Turner,2013,"New York, NY, USA",Document Automation,Companies,Legal Tech,A full-featured application for working with contracts. Only for Mac.,http://www.papersoftware.com/,https://twitter.com/papersoftware,https://angel.co/p/natsturner,https://www.crunchbase.com/organization/paper-software,https://www.linkedin.com/company/turner-broadcasting,https://www.facebook.com/public/William-Turner,n/a,"documents, contracts, app, mac",active,
Killer Kontracts,2014,USA,Document Automation,n/a,n/a,Killer Kontracts offers attorney-drafted contracts for any situation.,http://www.killerkontracts.com/,https://twitter.com/killerkontracts,n/a,https://www.crunchbase.com/organization/killer-kontracts,n/a,https://www.facebook.com/killerkontracts,n/a,"Document Management, Document Preparation, Legal, Legal Tech",inactive,
Visabot,2016,"Palo Alto, CA",Document Automation,n/a,n/a,Visabot is an AI-powered solution for streamlining U.S. visa process.,n/a,https://twitter.com/Visa_bot,https://angel.co/visabot,n/a,https://www.linkedin.com/company-beta/18036094/,https://www.facebook.com/visabot/,n/a,n/a,inactive,
Legalbird,2018,"Cologne, Nordrhein-Westfalen, Germany",Document Automation,n/a,n/a,Legalbird helps consumers to solve their legal issues within minutes.,https://www.legalbird.de/,https://twitter.com/legalbird,n/a,https://www.crunchbase.com/organization/legalbird,https://www.linkedin.com/company/legalbird,https://www.facebook.com/pages/category/Internet-Company/Legalbird-565886810521821/,n/a,"Consulting, Internet, Legal Tech, Professional Services",active,
Zegal,2013,"Cyberport, Hong Kong Island, Hong Kong",Document Automation,n/a,n/a,Zegal is a cloud legal software solution for businesses and law firms.,https://zegal.com/,https://twitter.com/getzegal,n/a,https://www.crunchbase.com/organization/dragon-law,https://www.linkedin.com/company/getzegal/,https://www.facebook.com/getzegal,n/a,"Information Services, Legal, Legal Tech, SaaS, Software",active,
Epoq Legal Inc,1994,"London, England, England",Document Automation,n/a,n/a,Epoq is a pioneer in the development of online legal document services.,http://www.epoq.co.uk/,https://twitter.com/epoq,n/a,https://www.crunchbase.com/organization/epoq,http://www.linkedin.com/company/epoq/,https://www.facebook.com/epoqinternetservices/,n/a,"Content, Law Enforcement, Legal, Legal Tech, Software",active,
Checkr,2014,"San Francisco, California, United States",Document Automation,Individuals,Legal Service Using Tech,Checkr seeks to automate the process of professional background checks.,n/a,https://twitter.com/checkr?lang=en,https://angel.co/company/checkr,n/a,https://www.linkedin.com/company/checkr-com,https://www.facebook.com/checkrio/,n/a,"Developer APIs, Enterprise Software, Human Resources, Information Services, Internet, Legal, Legal Tech, Software",active,
Pantentory,2014,No location yet,Document Automation,n/a,n/a,Checkr seeks to automate the process of professional background checks.,checkr.com/,https://twitter.com/checkr,n/a,http://www.crunchbase.com/organization/checkr,https://www.linkedin.com/company/checkr-com,https://www.facebook.com/checkrio/,n/a,n/a,active,
Wonder.Legal,2014,France,Document Automation,n/a,n/a,Wonder.Legal is a document automation company. Now open in 20 countries.,https://www.wonder.legal,https://twitter.com/wonderlegal_us?lang=en,n/a,https://www.crunchbase.com/organization/wonder-legal,https://www.linkedin.com/company/wonder.legal/about/,https://www.facebook.com/wonder.legal/,n/a,n/a,active,
NextLex Inc,2015,"Zürich, Zurich, Switzerland",Document Automation,n/a,n/a,NextLex is focused on the digitization of the legal system in Switzerland.,https://www.nextlex.ch,https://twitter.com/nextlex_law,n/a,https://www.crunchbase.com/organization/nextlex,https://www.linkedin.com/company/nextlex-ag/about/,n/a,n/a,"Digital Media, Legal, Legal Tech",inactive,
PatentPal Inc.,2018,"Menlo Park, California, United States",Document Automation,n/a,n/a,PatentPal is a professional drafting tool for patent attorneys and agents.,n/a,https://twitter.com/patentpal?lang=en,https://angel.co/patentpal,n/a,https://www.linkedin.com/company/patentpal/,https://www.facebook.com/patentpalofficial/,n/a,"Artificial Intelligence, Enterprise Software, Information Technology, Legal Tech, Natural Language Processing, SaaS, Software",active,
